,no,id_numbers,id,tweets,keywords
2270,2270,['1667149143205203968'],1.67e+18,"@RHarrabin @Channel4 As long as nuclear energy is also discussed as a low carbon, highly viable option then it's all good!",nuclear carbon
2272,2272,['1667148878762721280'],1.67e+18,"@daleethompson The industrial revolution 20th century had significantly more carbon in the atmosphere than today yet we are still seeing a significant rise in temperature.

We've got to say this, but Nuclear Bombs and radiation will cause temperature to rise.
Our Sun is full of Radiation...",nuclear carbon
2274,2274,['1667146714250190848'],1.67e+18,"@CatGPT6 @Keir_Starmer Exactly but more importantly we capture the carbon and then what, leave it to future generations to release it or store it indefinitely. Same issue with nuclear waste",nuclear carbon
2276,2276,['1667144749919109121'],1.67e+18,"@ChrisWickNews You'll get more than you bargained for, but feel free hommie. We're orbiting a gigantic nuclear furnace, that goes through cycles. Carbon is good. And green is the new red.",nuclear carbon
2281,2281,['1667140091033034753'],1.67e+18,@jacobin Nuclear is clearly here for the long term. But when it comes to getting the planet net carbon zero buy 2050 new nuclear plants is not the option.,nuclear carbon
2282,2282,['1667138017209794563'],1.67e+18,"RT @quakes99: DYK????? World's first #Nuclear propelled merchant cargo ship ran for 8 years, travelling 454,675 miles on a single fuel load of?â‚¬?",nuclear carbon
2283,2283,['1667136892494655488'],1.67e+18,@HorzaGobuchuI @wideawake_media I agree with you on everything you said except I don't believe in Climate Change or that carbon is a pollutant. If that is your belief do you object to nuclear power and why?,nuclear carbon
2284,2284,['1667135460915699715'],1.67e+18,@Monica_Garcia_G Y luego se la comprais a Francia y Alemania que obtienen la energ??a de la nuclear y la de carb??n.,nuclear carbon
2285,2285,['1667134233205252096'],1.67e+18,"RT @DavidStaplesYEG: China is the world's biggest emitter of carbon.
If this NDP MLA thinks we can solve this problem ""here"" in Canada, goo?â‚¬?",nuclear carbon
2286,2286,['1667133830120214528'],1.67e+18,RT @GovNuclear: It's #WorldOceanDay ???? and interest is growing in using new reactor technologies to dramatically scale back the maritime ind?â‚¬?,nuclear carbon
2287,2287,['1667132498243989504'],1.67e+18,"@peakaustria You're right. We need to convert to nuclear en masse, while using solar and wind to build ocean based systems that can capture carbon and convert it into useful products. https://t.co/VOKGnUgatV",nuclear carbon
2288,2288,['1667130128730853377'],1.67e+18,"@NGKabra @IISERPune @aparanjape Chemistry.!
Physical (Enthalpy &amp; Entropy graphs)
Elements of periodic table (Si).
Carbon counts in molecules with Synthesis &amp; stability graph.!
Final Nuclear chemistry.",nuclear carbon
2290,2290,['1667128392850763778'],1.67e+18,"Our ""Future of Gas"" report??recommends #heatpumps and #districtheating as ready-to-use and climate-friendly alternatives to gas boilers. It also weighs the possibilities of carbon capture and storage??(#CCS)??and #nuclear in #electricity production. Guess on which horse, ehm, snail?â‚¬? https://t.co/Lqr1KInB2F https://t.co/ydptJJIH68",nuclear carbon
2291,2291,['1667126401844035585'],1.67e+18,"@GBocquee Congestion not solved, too expensive, human rights abuses over lithium, manufacture emits tons of carbon and pollutes water. 

They're better than gas vehicles if the grid is hydro, wind or nuclear but they're not a panacea. 

Also climate capitalism is delusional copium.",nuclear carbon
2292,2292,['1667121635193651200'],1.67e+18,"@AndreuEscriva Me molesta m??s pa??ses que como Alemania antepongan el dogmatismo al sentido com??n y cierren centrales nucleares para luego acabar quemando carb??n. Y que luego est??n todo el d??a machac??ndonos con que los ciudadanos somos muy malos con la ecolog??a.
https://t.co/D1atYtosMB",nuclear carbon
2294,2294,['1667117925612806148'],1.67e+18,RT @CarbonFreeCA: Did you know? 59% of the state's electric power now comes from clean energy sources and 17% of that   carbon-free electri?â‚¬?,nuclear carbon
2297,2297,['1667065757623099394'],1.67e+18,@keith86434201 @UnimpressedTX @1974_Pegasus @TheSBTC @SpeakerMcCarthy Lmfao how stupid can you people be. Sure hey did you know we have two nuclear subs off the coast of nk How does that even come up in a conversation. No it is not a normal thing for presidents to do Going hey we are looking to reduce greenhouse gasses anything you can do is normal,nuclear greenhouse
2298,2298,['1667013865178279936'],1.67e+18,@FinancialPhys @zerohedge Nuclear power now. Zero greenhouse gases zero.,nuclear greenhouse
2299,2299,['1666939777092820998'],1.67e+18,"@the_apollonic @WallStreetSilv 100% nuclear. 

The co2, greenhouse stuff is crap.

What is the REAL greenhouse effect? https://t.co/WJgqGBlONc",nuclear greenhouse
2301,2301,['1666935743812456452'],1.67e+18,"@sch3xmix I honestly hope it?â‚¬?s not because 60% of my worry over nuclear war is the nuclear winter and resulting famine, which seems less likely if there?â‚¬?s no anti-greenhouse effect from giant fires https://t.co/VR4MJ1Jipi",nuclear greenhouse
2303,2303,['1666802924088078336'],1.67e+18,"@BernieSanders Drifting smoke is too much for Bernie to understand.
So, where's your congressional advocacy for NUCLEAR?
Or you aren't really serious-or scientific-about reducing greenhouse gases at all!",nuclear greenhouse
2306,2306,['1666740654368595968'],1.67e+18,@dorfman_p Complete irrelevant data. Countries that have a relatively large share of intermittent renewable sources are dependent on fossile fuels as backup and therefore have much higher greenhouse gas emissions than the countries with the more rational policy of mainly using nuclear&amp;hydro,nuclear greenhouse
2307,2307,['1666714695137472512'],1.67e+18,Nuclear Power Is Efficient And Emits No Greenhouse Gasses - Environmentalists embrace nuclear power https://t.co/Y97LIIxvLW via @CBSNews,nuclear greenhouse
2309,2309,['1666635533135777793'],1.67e+18,"@Justinsteer3 @ColinThomas1951 @philYoung17 @strangerous10 See this is the real nuclear agenda. 
The coal and greenhouse gas agenda. Funded by the fossil fuel lobby.
Don?â‚¬?t have to dig too deep to find it.",nuclear greenhouse
2312,2312,['1666619651969646592'],1.67e+18,"@JimMuessig @AirforceB75 @chrislhayes Because boomer ?â‚¬?hippies?â‚¬? in the Green Party,etc. were traumatized by Chernobyl and haven?â‚¬?t reconciled that reflexive distrust of nuclear power with the relatively new imperative of reducing greenhouse gas emissions.",nuclear greenhouse
2313,2313,['1666596651241205765'],1.67e+18,@cactikaktos @Nuclear_Circus Our ozone is disappearing. They're calling it Greenhouse gasses but really there's more UV Rays getting through. There was an event in space about 15 years ago that blew off about 15% of our ozone. I saw it on an SCI program. Can't remember specifics.,nuclear greenhouse
2314,2314,['1666596027137236994'],1.67e+18,@rightorrightnow @mfpears @VivekGRamaswamy I'm sure the environmental effects from pumping out greenhouse gases will hold off on existing until solar and hydroelectric and nuclear becomes however as affordable as you personally deem.,nuclear greenhouse
2315,2315,['1666588981813997568'],1.67e+18,@JennyYeremiy @_The_Lowdown_ @geraldclark10 Without greenhouse gasses we would be in a mini ice age right now. Something like when krakatoa erupted around 600 bc.  This will happen again and then climate fearmongers will be saying why did we not do something to mitigate survival through the nuclear winter?,nuclear greenhouse
2316,2316,['1666582099581624321'],1.67e+18,"@EPA WHEN IS ENOUGH ENOUGH?? We know the grid is based on fossil fuels, so why do you push electric cars?? Zeolites directly remove greenhouse gases from the atmosphere, they clean oil spills, nuclear waste, everything, so why aren't there drones, roadside vacuums, etc.?????",nuclear greenhouse
2318,2318,['1666494854270967972'],1.67e+18,"@BruceRibelin @KSTP Bruce, you're clearly an expert! It's about CO2 (greenhouse gases) reduction. Don't gimme what is worse BS. I would love to hear what your solution is! Here's mine: Heat pumps, electrification with a focus on solar, wind, and nuclear. Recycled batteries &amp;Hydrogen for air travel.",nuclear greenhouse
2323,2323,['1666449971153973249'],1.67e+18,"RT @sunlorrie: Ontario eliminated the use of coal-fired electricity by using nuclear power and natural gas (wind was a bit player, solar a?â‚¬?",nuclear greenhouse
2324,2324,['1666447060168523781'],1.67e+18,"Ontario eliminated the use of coal-fired electricity by using nuclear power and natural gas (wind was a bit player, solar a rounding error) -- one of the world's most rapid and dramatic reductions of greenhouse gas emissions. https://t.co/BCQy1g2O2v",nuclear greenhouse
2327,2327,['1666429911903395842'],1.67e+18,"@ThatsBoSheep They seem to be convinced that electric vehicles is going to crank up our emissions. Like we're not transitioning to nuclear and renewables to cut down on greenhouse gasses....

People are absolutely DUMB.",nuclear greenhouse
2328,2328,['1666417211240480768'],1.67e+18,"@AndrewX36446234 @ExplainThisBob @stranger4599 the greenhouse effect is not 20 years old lol that is like saying, ""nuclear fission is 80 years old."" No, the greenhouse effect is a scientific term referring to the trapping of heat in the atmosphere. Greenhouse gases such as carbon dioxide are extremely good at trapping heat.",nuclear greenhouse
2329,2329,['1666382249946644483'],1.67e+18,"@carla_denyer You are completely wrong on lifecycle greenhouse gas emissions from nuclear. It's extremely low, often assessed as the lowest but certainly comparable to hydro. The IPCC also holds this view.

Update your sources. And preferably, publicly correct your error.",nuclear greenhouse
2335,2335,['1666185326321352704'],1.67e+18,"@NikkiHaley Can you share the data of following subjects with total and per capita also?

&gt; Nuclear waste
&gt; Co2 Emissions
&gt; Greenhouse Gas Emissions
&gt; PM2.5
&gt; Space Junk (Pollution)
&gt; single-use plastic waste
&gt; Thermal Pollution

You can find that US is enemy of the nature.",nuclear greenhouse
2338,2338,['1666157661812051969'],1.67e+18,"RT @Tyler_The_Wise: Green Party activists around the world are responsible for, on net, more greenhouse gas emissions than the entire air t?â‚¬?",nuclear greenhouse
2339,2339,['1666156494566608896'],1.67e+18,"Green Party activists around the world are responsible for, on net, more greenhouse gas emissions than the entire air travel industry.

Absent their foolish anti-nuclear crusade, most of the developed world  could have a power grid that looked like France. https://t.co/OLx9GSnNKD",nuclear greenhouse
2340,2340,['1666134419566997532'],1.67e+18,"RT @SimsNono: 3. Nuclear weapons-related activities generate significant amounts of greenhouse gases. The production, maintenance, and disp?â‚¬?",nuclear greenhouse
2341,2341,['1666133729046065153'],1.67e+18,"3. Nuclear weapons-related activities generate significant amounts of greenhouse gases. The production, maintenance, and disposal of nuclear waste contribute to global warming and hinder global efforts to address this urgent issue.",nuclear greenhouse
2342,2342,['1666102357669601281'],1.67e+18,"RT @iamswapnil004: #idahurricane 

https://t.co/dHRQMkoGQB

THE OZONE LAYER HOLE WAS CAUSED BY STARFISH PRIME-- A NUCLEAR EXPLOSION IN SPAC?â‚¬?",nuclear greenhouse
2346,2346,['1666040083013849088'],1.67e+18,"@RogerHallamCS21 @jrockstrom You say ?â‚¬?clear?â‚¬? but I?â‚¬?m still confused ???? you say ?â‚¬?billions of deaths?â‚¬? coz:
A. Starvation - yet global warming means more greenhouse gases (CO2), means greens the planet, means more to eat ergo no starving
B. War - please explain billions dying. We going nuclear? Bit pessimistic?",nuclear greenhouse
2347,2347,['1665839407264419842'],1.67e+18,"RT @BernieSpofforth: Al GORE - In mad millionaire preacher mode!

Greenhouse gas emissions are the equivalent to 600,000 Hiroshima sized nu?â‚¬?",nuclear greenhouse
2348,2348,['1665834955920797702'],1.67e+18,@JPB_Islington @steve_stringer @Keir_Starmer By this definition there is literally no such thing as clean energy lol. Clean energy refers to greenhouse gases which means nuclear energy is clean by definition - it?â‚¬?s not a matter of debate.,nuclear greenhouse
2350,2350,['1665757046187196416'],1.67e+18,"This is the most IDIOTIC post a lobbyist group could ever post! That people actually hit the ""like"" button has me SMH... If you don't use gas and instead use alternate sources of energy like solar, wind, hydro and worst case, nuclear, you don't emit greenhouse gases. Duh! https://t.co/ghvIxNOHNt",nuclear greenhouse
2351,2351,['1665753995405557767'],1.67e+18,"@diarmuidmacd @dorfman_p Nuclear power plants produce no greenhouse gas emissions during operation, and over the course of its life-cycle, nuclear produces about the same amount of carbon dioxide-equivalent emissions per unit of electricity as wind, and one-third  per unit of solar electricity.",nuclear greenhouse
2352,2352,['1665739709652553729'],1.67e+18,@JustinTrudeau We're forcing our trade partners to do the same? We're becoming self sustainable? We're building more nat gas and nuclear power facilities? We're planting more trees and cleaning our water? We're funding greenhouse grow operations for year-round organic vegetables? Your?â‚¬? https://t.co/AfvKmCrAjb,nuclear greenhouse
2354,2354,['1665728546017361922'],1.67e+18,@Dr_Keefer @cadlam Great to see such successful implementation of CANDU nuclear technology in Ontario! It's amazing to hear about the impressive reduction in greenhouse gases and the elimination of smog days. Keep up the good work! #CleanEnergy #EnvironmentalProtection,nuclear greenhouse
2355,2355,['1665721665223884802'],1.67e+18,"RT @Abettervision: Exactly. 
Agricultural nitrogen only accounts for only 4% of greenhouse gases.
This is tokenism only  ?â‚¬? a way of avoidin?â‚¬?",nuclear greenhouse
2356,2356,['1665720087901241344'],1.67e+18,"Exactly. 
Agricultural nitrogen only accounts for only 4% of greenhouse gases.
This is tokenism only  ?â‚¬? a way of avoiding the necessary transition from fossil fuel burning to wind, solar, tidal, geothermal, and nuclear energies. https://t.co/zSMaY20K2X",nuclear greenhouse
2357,2357,['1665710008980348928'],1.67e+18,"RT @PAHSS: Commercial nuclear power plants are essential for energy security, minimizing land use &amp; impacts on biodiversity, eliminating gr?â‚¬?",nuclear greenhouse
2358,2358,['1665709723881021443'],1.67e+18,"Commercial nuclear power plants are essential for energy security, minimizing land use &amp; impacts on biodiversity, eliminating greenhouse gas emissions &amp; halting global warming! https://t.co/oyadW3w4fg",nuclear greenhouse
2359,2359,['1665683607325913088'],1.67e+18,"Nuclear power offers us a clean and reliable source of energy, free from greenhouse gas emissions. By harnessing the power of atoms, we can generate electricity without contributing to climate change. ????????",nuclear greenhouse
2360,2360,['1665639089704665089'],1.67e+18,"1/ Nuclear power is a clean energy solution that provides a low-carbon alternative to fossil fuels. It generates electricity without producing greenhouse gas emissions, making it an important tool in reducing our carbon footprint. ????",nuclear greenhouse
2364,2364,['1665446291101433860'],1.67e+18,"@dorfman_p What would it cost? Just the cost of a time machine to go back to the early 1979's and get the anti-nuclear energy movement to shut up, and most of the greenhouse gas issues could have been dealt with by the 19990s.",nuclear greenhouse
2365,2365,['1665412942504796164'],1.67e+18,"@BritainRemade It is five years after XR demand two ""reduce greenhouse gas emissions to net zero by 2025"" &amp; nuclear is involved.
https://t.co/7uGb863gxD",nuclear greenhouse
2366,2366,['1665386643082162176'],1.67e+18,RT @KamepinUa: @sovereignofkent the lower picture produces more greenhouse gas than a nuclear reactor that can outproduce the upper picture,nuclear greenhouse
2367,2367,['1665384431417278464'],1.67e+18,@sovereignofkent the lower picture produces more greenhouse gas than a nuclear reactor that can outproduce the upper picture,nuclear greenhouse
2368,2368,['1665379101954170885'],1.67e+18,"@MarcoPratti @john4brexit The two systems are not comparable and Finland is largely not renewable (nuclear is not a greenhouse emitter, but it's not renewable). The UK can use wind and nuclear as well.",nuclear greenhouse
2369,2369,['1665351341831495680'],1.67e+18,"RT @FutureWorldTw: @scienceisstrat1 Nuclear fission provides a concentrated energy source, generating electricity with low greenhouse gas e?â‚¬?",nuclear greenhouse
2370,2370,['1665349700763918336'],1.67e+18,"@scienceisstrat1 Nuclear fission provides a concentrated energy source, generating electricity with low greenhouse gas emissions. Fission enables continuous power production, contributes to diversifying energy portfolios, and reduces dependence on fossil fuels. https://t.co/BEH7VQAxHp",nuclear greenhouse
2373,2373,['1665121260823617538'],1.67e+18,RT @SStapczynski: French Energy Transition Minister Agnes Pannier-Runacher said it lowered its greenhouse emissions by 2.5% last year ?â‚¬? tha?â‚¬?,nuclear greenhouse
2374,2374,['1665099194946797568'],1.67e+18,It literally makes zero difference. The only thing it'll do is create more hungry people. Stop this nonsense. Want to reduce greenhouse gasses? Nuclear energy en masse https://t.co/COYqLuwhCM,nuclear greenhouse
2375,2375,['1665095153931919360'],1.67e+18,@charlesmurray Sadly goes with greenhouse gases rather than nuclear,nuclear greenhouse
2378,2378,['1664978241185095682'],1.66e+18,"RT @LeilaniAthenai1: https://t.co/4Agg9htjd3
Minister of economy(METI) urges restarting #nuclear pw PLs as part of greenhouse gas reduction?â‚¬?",nuclear greenhouse
2379,2379,['1664889633098833922'],1.66e+18,"@TheOliverStone @joerogan @NuclearNowFilm The campaign against nuclear energy decades ago was the stupidest and most short-sighted thing that has ever occurred in the name of the environment. Nuclear energy is cheap, efficient, and has no Greenhouse emissions. Bring it back.",nuclear greenhouse
2383,2383,['1664864018845114368'],1.66e+18,"@xavcot @Liontiger12345 @fr_1960 gCO2e/kWh) stated in a report for the UK?â‚¬?s Committee on  Climate Change, and significantly higher than the median value of 12  gCO2e/kWh presented by the""
Preuve:
https://t.co/7lC8BTdaYp",nuclear greenhouse
2394,2394,['1664767275163893761'],1.66e+18,"RT @ztisdale: Nuclear provides 60% of Ontario's power supply.

Nuclear power emits zero greenhouse gases.

Why aren't we building more nucl?â‚¬?",nuclear greenhouse
2396,2396,['1667245895644073990'],1.67e+18,@JonErlichman Tesla is the new Oil Company?â‚¬? perhaps more profitable than manufacturing?â‚¬? instead of drilling Solar and Nuclear(?) @elonmusk,nuclear company
2409,2409,['1667244539717865495'],1.67e+18,RT @myronjclifton: As a middle manager at companies I was required to sign non disclosure &amp; non compete documents. Required to take online?â‚¬?,nuclear company
2410,2410,['1667244427126116352'],1.67e+18,As a middle manager at companies I was required to sign non disclosure &amp; non compete documents. Required to take online recertification every quarter that I know the law &amp; company policies. Then exit interview to ensure I returned all company property. Trump walked w/nuclear info,nuclear company
2413,2413,['1667243738408841216'],1.67e+18,"RT @BillShine8: My company's old paid invoices were stored more carefully than the nation's nuclear secrets.
Go ahead GOP. Keep defending h?â‚¬?",nuclear company
2414,2414,['1667239210665779200'],1.67e+18,"My company's old paid invoices were stored more carefully than the nation's nuclear secrets.
Go ahead GOP. Keep defending him. PLEASE!",nuclear company
2415,2415,['1667239187358031873'],1.67e+18,"@GeneralBass8 @proofchecker @letsreplanet And how does that mean that pushing for nuclear is pushing for fossil fuels? Orsted is a renewable energy company wich was a fossil fuel company in the past for exemple. Keeping nuclear would benefit an oil and gas company, but not the oil and gas sector",nuclear company
2416,2416,['1667231323742674957'],1.67e+18,I dunno?â‚¬?Lukashenko &amp; Company permitting Belarus to be a nuclear blackmail accomplice sounds like a financially risky deal to me. ????????,nuclear company
2417,2417,['1667231321578414098'],1.67e+18,So wait a minute.  If Belarus houses Russian nuclear facilities and nukes?â‚¬?after the war should they not expect to pay dearly too for being a nuclear blackmail accomplice???  Doesn?â‚¬?t that mean Lukashenko &amp; Company could be on the hook financially too??  The logic is there.,nuclear company
2418,2418,['1667224749968072712'],1.67e+18,RT @RisingSCompany: Welcome to your new #nuclear #Homestead from Rising S company. #2024Election #smoke #survival https://t.co/P6pHKO0Vdi,nuclear company
2419,2419,['1667222795141656576'],1.67e+18,RT @Cecalli_Helper: Why do these people at #Holtec (BOD &amp; Copr Leaders) think it is OKAY to Dump #Pilgrim NPP's nuclear waste into the #Hud?â‚¬?,nuclear company
2420,2420,['1667219631637970945'],1.67e+18,Why do these people at #Holtec (BOD &amp; Copr Leaders) think it is OKAY to Dump #Pilgrim NPP's nuclear waste into the #HudsonRiver? Who are they to threaten East Coast #Fisheries and people? https://t.co/XkZ5Bx5hpl ???????????? #CapeCod https://t.co/3jPHfl0Lh3,nuclear company
2424,2424,['1667213434373455904'],1.67e+18,"Nuclear company newcleo wins grant for reactor project in France
#AInvest #Ainvest_Wire #Macro #Equity #commodities
View more: https://t.co/RoG3eime4L",nuclear company
2426,2426,['1667203989996294144'],1.67e+18,"@N_Wainright @NetZeroWatch France?â‚¬?s EDF says renewables subsidize the debt ridden money losing nuclear.
France's EDF: Hercules plan to unleash renewables
With Hercules in place, he said the company could have 100 gigawatts (GW) of net renewable generating capacity by 2030.
https://t.co/QkQSio1NUJ",nuclear company
2430,2430,['1667190097911902209'],1.67e+18,@AstonMarco1 @letsreplanet Nuclear power plants in france are totally owned by the big company EDF which is owned by the huge multimillionaire... France... nuclear energy give the power only to the people ;),nuclear company
2432,2432,['1667185916614438913'],1.67e+18,"@Gerashchenko_en Lukashenko is a fool, he just jeopardized the welfare of the Belarusian people with the installation of nuclear weapons on Belarus territory.  If this war would ever escalate into a nuclear disaster, Belarus will be destroyed.   Putin is looking for company in his final defeat.",nuclear company
2433,2433,['1667184421873627137'],1.67e+18,"RT @pegasusresinc: Pegasus Resources Inc. (TSX-V: $PEGA.v; Frankfurt ?â‚¬? OQS2, OTC/Pink Sheet symbol $SLTFF) is a dynamic mineral exploration?â‚¬?",nuclear company
2434,2434,['1667184295499255810'],1.67e+18,"From Nikkei article.
There is growing backlash in Hong Kong over the release of treated water from Tokyo Electric Power Company's Fukushima Daiichi Nuclear Power Plant into the ocean. Xie Zuhuang, Director General of the Environment and Ecology Bureau, announced on the 8th that?â‚¬? https://t.co/vpC4oy7Rld",nuclear company
2437,2437,['1667179651997876227'],1.67e+18,"RT @SOLARLIFE: French EDF nuclear power company removed from #Paris stock market: round $65 billion debt, plus $20 billion loss this year,?â‚¬?",nuclear company
2439,2439,['1667178320629301251'],1.67e+18,@MattGertz What a piece of work. A former coal company executive and science denialist who even thinks nuclear radiation is overrated as a risk. Yet he gets to roll out this crap as the truth?,nuclear company
2440,2440,['1667176247904940034'],1.67e+18,"@pwrhungry In 2013, Rosatom, backed by the Russian state, acquired a Canadian uranium mining company, now called Uranium One, which has assets in the U.S. Uranium is a key material for making nuclear weapons.
Through the deal, Russia is able to own about 20 percent of U.S. uranium?â‚¬? https://t.co/NA70aOai50",nuclear company
2441,2441,['1667175891292528642'],1.67e+18,"Visitors can view a short video and engage with exhibits on the production of cancer-fighting medical isotopes, Bruce Power?â‚¬?s Major Component Replacement Projects, and its history as a nuclear power company.
https://t.co/SgGmlJopYv",nuclear company
2444,2444,['1667170738539835395'],1.67e+18,@CrossRatto @ScottyHella @TPostMillennial This was for a fair prosecutor investigating a corrupt company called Burisma with a crack head in charged by the name of Hunter Biden .. @Jim_Jordan needs to file indictments charges because this crack head son will bring us all inton Nuclear Armageddon WW3 https://t.co/pkNOfaXlF8,nuclear company
2445,2445,['1667170513729331207'],1.67e+18,"RT @MoltexEnergy: ""We're fortunate to have a company here on New Brunswick soil... that can take #nuclear waste and turn it into #energy.""?â‚¬?",nuclear company
2455,2455,['1667152823325454337'],1.67e+18,"RT @drprashantmish6: *Sealmatic India Ltd ?â‚¬? 
Concall 

- The company operates across 45 countries globally.
- It is the second company in I?â‚¬?",nuclear company
2456,2456,['1667147484186165249'],1.67e+18,"*Sealmatic India Ltd ?â‚¬? 
Concall 

- The company operates across 45 countries globally.
- It is the second company in India, after L&amp;T, in the process of acquiring ISO 19443, crucial for businesses in the nuclear power plant industry.

*Annual Performance FY23*

-Topline growth:?â‚¬? https://t.co/g82nfxltqz",nuclear company
2457,2457,['1667143071119622144'],1.67e+18,"@underseaNavy @USNavy El primer portaaviones de propulsi??n nuclear pionero fue el ""USS Enterprise"" construido por Northrop Grumman Newport News Shipbuilding Company, que se uni?? a la Marina de los EE. UU. en 1961.",nuclear company
2458,2458,['1667141801134772225'],1.67e+18,"@underseaNavy @USNavy The first pioneering nuclear-powered aircraft carrier was the ?â‚¬?USS Enterprise?â‚¬? built by the Northrop Grumman Newport News Shipbuilding Company, which joined the U.S. Navy in 1961.",nuclear company
2460,2460,['1667139968085676033'],1.67e+18,RT @aller_tim: @BrianGitt @shellenberger @MadiHilly @Dr_Keefer It?â‚¬?s so safe that no insurance company is willing to insure nuclear. It?â‚¬?s al?â‚¬?,nuclear company
2461,2461,['1667129753394970628'],1.67e+18,"French EDF nuclear power company removed from #Paris stock market: round $65 billion debt, plus $20 billion loss this year, as half nuclear plants on repair for rost piping problems, as offline makes no ???? money loss may go up to $35 billion. Who pays ? Tax payer EDF nationalized https://t.co/FZ44XCYahm",nuclear company
2462,2462,['1667128671872622592'],1.67e+18,"RT @KyivIndependent: ?????? Energoatom: Russia shells Zaporizhzhia Nuclear Power Plant, damages monitoring sensors. 

Russia shelled three radi?â‚¬?",nuclear company
2463,2463,['1667118814964621312'],1.67e+18,@Lettiejp @GuidoFawkes Labour's initial proposal was a company called GB Energy to invest in UK energy projects excluding fossil fuels or nuclear as well as any foreign investment concentrating on new technologies that had proved to be uneconomic,nuclear company
2464,2464,['1667114797303824385'],1.67e+18,"RT @AdiSurreyEnergy: This will not make it operate any better:
'French nuclear company EDF was delisted from the Paris stock exchange and r?â‚¬?",nuclear company
2465,2465,['1667110189076717569'],1.67e+18,"@JohanSollid Great, if a company like Novo gets behind nuclear power, things might begin to happen.
No matter what, it's always wise to hedge one's bets.",nuclear company
2471,2471,['1667091262820986880'],1.67e+18,"@thecommongreen Invest in Chinese owned steel company ???
Build nuclear ???
Delay green investment ???",nuclear company
2475,2475,['1667081810927312896'],1.67e+18,"Take a look at one of our latest roles! Interim Senior Buyer IT, ??500 per day (via Umbrella Company) 12-18 month contract.

#ITProcurement #Nuclear #Aerospace #Defense #CyberSecurity #HybridWork #RemoteWork #UKJobs #SeniorBuyer #JobOpportunity https://t.co/J95RXajBkn https://t.co/oypm5IIqT9",nuclear company
2476,2476,['1667078926366044161'],1.67e+18,"@MattLoszak All of these nuclear waste casks must be absolutely tight and protected from any external influences
?????? for 1 million years.

Is it already clear whether they will last at least 1% of this time?
And what is the name of the company that will secure them in 10 thousand years?",nuclear company
2477,2477,['1667076986991259648'],1.67e+18,"French energy company @EDFofficiel moves back into state hands ""with a multitude of burdens""

- Nationalisation after 18 years ""ends a bumpy ride for shareholders""
- French govt now able to align ""debt-laden nuclear behemoth"" with own interests 

https://t.co/7LzzAxyhmt",nuclear company
2478,2478,['1667075763965939712'],1.67e+18,"@ankurjain_2 sir, establish a controlled nuclear fusion reactor make a company where both you and I will be co-founder of the company.sir,give me only 40 percent shares in your company.
email - badrilalmanmya@gmail.com
https://t.co/8umRPeoUOk",nuclear company
2481,2481,['1667067396111183873'],1.67e+18,"@JonBakerPharmD @MetaStudioLogic Sorry but you're talking points taken from fossil fuel's PR campaign are obviously wrong and are based on magic thinking without any sources. More bang for buck? Lol, I mean you can talk power density, but $/GW of nuclear is so high that no private company will invest in it.",nuclear company
2485,2485,['1667054841540009984'],1.67e+18,"RT @NucNetNews: ???????? #Sweden: Vattenfall Exploring Clean #Hydrogen Production From #Nuclear Reactors. #nuclearenergy #nuclearpower

Company a?â‚¬?",nuclear company
2486,2486,['1667053317552209920'],1.67e+18,"@Prom000 @JimHanner @RichardJMurphy @CarolineLucas Energy companies facing consumers pay the energy generators (sometimes the same company) and indexed amount currently based on the cost of gas by law.

But this is considered the 'wholesale' price (30% cost) but wind &amp; nuclear have CFD prices which form part of all bills.

Here:",nuclear company
2492,2492,['1667036855961894913'],1.67e+18,"This will not make it operate any better:
'French nuclear company EDF was delisted from the Paris stock exchange and returned to full state ownership?â‚¬?'
TMC",nuclear company
2493,2493,['1667034513006813189'],1.67e+18,"RT @EuromaidanPress: The Kakhovka Hydroelectric Power Plant was designed to withstand a nuclear attack, it could not have been destroyed by?â‚¬?",nuclear company
2494,2494,['1667025587716734977'],1.67e+18,"@Simpsons_tweets 'Land of Chocloate' scene, when Springfield nuclear plant is bought by a German company, is another scene that humanizes Homer and shows that we all have 'Land of Chocolate' thoughts.",nuclear company
2496,2496,['1667246366693773327'],1.67e+18,RT @MattScalici: Just thinking about all the people who said we were being hysterical in 2016 as I read about the former president keeping?â‚¬?,nuclear war
2497,2497,['1667246243565694977'],1.67e+18,@GadSaad I would say nuclear war was the biggest one in the 1950s,nuclear war
2498,2498,['1667246236754227200'],1.67e+18,"RT @laitman: A Kabbalist?â‚¬?s Thoughts after the 76th Anniversary of the Hiroshima Bombing

There are many movies that depict what the world c?â‚¬?",nuclear war
2499,2499,['1667246210753888256'],1.67e+18,"@tedlieu @RepJoeWilson @RepKenBuck @RepGolden @RepCohen @CongresswomanSC What part of nuclear war is unclear to you people?

You all need to booted out of office. And you will be.",nuclear war
2500,2500,['1667246207247306768'],1.67e+18,RT @ProjectVirginia: Ukraine's counteroffensive failed spectacularly - they got completely slaughtered. More money to Ukraine isn't going t?â‚¬?,nuclear war
2501,2501,['1667246188293410816'],1.67e+18,"@JacquiHeinrich Yes, this is exactly where you store top secret nuclear documents as well as war plans?â‚¬?.nothing to see here per Fox News anchors",nuclear war
2503,2503,['1667246115568381957'],1.67e+18,@War_Takes nothing like reading nuclear secrets on your marble toilet,nuclear war
